Sl. No.,State/UT,Total Number of Inhabited Villages as per Census 2011,Number of Inhabited Villages with Mobile Connectivity as per 2020 Data,Number of Uncovered Villages
1,Andaman & Nicobar Islands,396,245,151
2,Andhra Pradesh,16158,14371,1787
3,Arunachal Pradesh,5258,3035,2223
4,Assam,25372,24756,616
5,Bihar,39073,38828,245
6,Chandigarh,5,5,0
7,Chhattisgarh,19567,17720,1847
8,Dadra & Nagar Haveli and Daman & Diu,84,84,0
9,Goa,320,292,28
10,Gujarat,17843,17331,512
11,Haryana,6642,6642,0
12,Himachal Pradesh,17882,17499,383
13,Jammu & Kashmir,6101,5947,154
14,Jharkhand,29492,28348,1144
15,Karnataka,27397,26956,441
16,Kerala,1017,1017,0
17,Ladakh,236,172,64
18,Lakshadweep,6,5,1
19,Madhya Pradesh,51929,49317,2612
20,Maharashtra,40959,38631,2328
21,Manipur,2515,2052,463
22,Meghalaya,6459,4785,1674
23,Mizoram,704,498,206
24,Nagaland,1400,1256,144
25,NCT of Delhi,103,103,0
26,Odisha,47677,41578,6099
27,Puducherry,90,90,0
28,Punjab,12168,12168,0
29,Rajasthan,43264,42323,941
30,Sikkim,425,415,10
31,Tamil Nadu,15049,15000,49
32,Telangana,10128,9975,153
33,Tripura,863,832,31
34,Uttar Pradesh,97813,97486,327
35,Uttarakhand,15745,15319,426
36,West Bengal,37478,37470,8
Total,Total,597618,572551,25067
